Phi, Gain_n2, Gainh_n2, Gains_n2
0.000000, -2.712523, 1.044075, -2.052993
1.000000, -2.255831, 1.333819, -1.704820
2.000000, -1.635820, 1.730266, -1.336566
3.000000, -0.936726, 2.193069, -0.946528
4.000000, -0.237616, 2.666611, -0.571841
5.000000, 0.326022, 2.934529, -0.284565
6.000000, 0.778538, 2.898080, -0.099835
7.000000, 1.302733, 2.877524, 0.104912
8.000000, 1.877703, 2.895632, 0.355084
9.000000, 2.469532, 2.967500, 0.653120
10.000000, 3.043456, 3.087019, 0.976495
11.000000, 3.461318, 3.062456, 1.189640
12.000000, 3.861766, 3.002093, 1.386839
13.000000, 4.296959, 3.032273, 1.590062
14.000000, 4.742349, 3.138703, 1.791861
15.000000, 5.173038, 3.314152, 1.988363
16.000000, 5.553424, 3.557020, 2.121051
17.000000, 5.746406, 3.917361, 2.079304
18.000000, 5.977531, 4.329388, 2.067569
19.000000, 6.270713, 4.776538, 2.097386
20.000000, 6.625937, 5.264339, 2.163143
21.000000, 6.995298, 5.759984, 2.234694
22.000000, 7.302058, 6.275134, 2.159963
23.000000, 7.545429, 6.831011, 1.898744
24.000000, 7.822035, 7.417736, 1.600212
25.000000, 8.129649, 8.016156, 1.269710
26.000000, 8.430209, 8.589429, 0.913942
27.000000, 8.707996, 9.101367, 0.505396
28.000000, 8.779118, 9.448189, -0.379186
29.000000, 8.810025, 9.738169, -1.531135
30.000000, 8.840922, 10.028005, -1.345953
31.000000, 8.872893, 10.283510, -0.475481
32.000000, 8.892275, 10.515793, 0.329239
33.000000, 8.852076, 10.657757, 0.931382
34.000000, 8.619067, 10.626377, 1.190909
35.000000, 8.386872, 10.613621, 1.491915
36.000000, 8.196528, 10.624613, 1.835188
37.000000, 8.052386, 10.670785, 2.181758
38.000000, 7.971619, 10.726819, 2.495251
39.000000, 7.798160, 10.671943, 2.360221
40.000000, 7.614322, 10.541617, 1.972381
41.000000, 7.591637, 10.442972, 1.690273
42.000000, 7.732026, 10.410909, 1.609474
43.000000, 7.983228, 10.433129, 1.745491
44.000000, 8.296245, 10.496784, 2.016067
45.000000, 8.463113, 10.393056, 1.607935
46.000000, 8.695586, 10.336601, 1.392871
47.000000, 8.996098, 10.353749, 1.418870
48.000000, 9.323485, 10.419370, 1.677167
49.000000, 9.643599, 10.524435, 2.099127
50.000000, 9.856349, 10.579657, 2.431224
51.000000, 9.909844, 10.500023, 2.620052
52.000000, 9.958511, 10.386928, 3.035429
53.000000, 10.022622, 10.261350, 3.656440
54.000000, 10.117748, 10.136862, 4.353458
55.000000, 10.208299, 10.012634, 5.007001
56.000000, 10.077012, 9.815711, 5.238980
57.000000, 9.916830, 9.622371, 5.325371
58.000000, 9.819096, 9.497166, 5.378926
59.000000, 9.838582, 9.434690, 5.452719
60.000000, 9.971577, 9.459461, 5.541240
61.000000, 10.137277, 9.525281, 5.609759
62.000000, 10.133956, 9.529146, 5.446576
63.000000, 10.206870, 9.572260, 5.355321
64.000000, 10.351707, 9.672727, 5.348965
65.000000, 10.579364, 9.803516, 5.402405
66.000000, 10.853810, 9.969423, 5.478979
67.000000, 11.071044, 10.112634, 5.367404
68.000000, 11.200493, 10.218570, 5.063823
69.000000, 11.351398, 10.342826, 4.763578
70.000000, 11.529460, 10.478142, 4.872657
71.000000, 11.720285, 10.623102, 5.198952
72.000000, 11.919718, 10.788007, 5.544575
73.000000, 11.966723, 10.809189, 5.680230
74.000000, 11.972644, 10.788256, 5.742667
75.000000, 11.975070, 10.756180, 5.765813
76.000000, 11.962625, 10.694311, 5.764309
77.000000, 11.954219, 10.632223, 5.750636
78.000000, 11.925340, 10.584288, 5.735835
79.000000, 11.845625, 10.580418, 5.743743
80.000000, 11.825244, 10.591193, 5.773256
81.000000, 11.853529, 10.602267, 5.823448
82.000000, 11.918290, 10.622957, 5.887674
83.000000, 12.027081, 10.620688, 5.944976
84.000000, 12.040617, 10.614481, 5.945130
85.000000, 12.000838, 10.582908, 5.883319
86.000000, 11.953905, 10.524956, 5.775423
87.000000, 11.895414, 10.446463, 5.612797
88.000000, 11.831100, 10.328161, 5.387289
89.000000, 11.734371, 10.176334, 5.094935
90.000000, 11.735608, 10.007702, 4.859876
91.000000, 11.376003, 9.617733, 4.211014
92.000000, 11.049745, 9.231550, 3.532825
93.000000, 10.815771, 8.879031, 2.906261
94.000000, 10.742473, 8.612528, 2.418196
95.000000, 10.821144, 8.441077, 2.157666
